CONDUIT & FITTINGS,CONDUIT & FITTINGS,,,,,,,,
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,,,,,,,,
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","1/2""",0.61,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","3/4""",1.05,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","1""",1.65,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","1-1/4""",3.06,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","1-1/2""",3.78,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","2""",5.57,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","2-1/2""",16.5,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","3""",19.4,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","3-1/2""",24.1,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","4""",28.2,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT",,,,,,,,
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","1/2""",0.08,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","3/4""",0.13,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","1""",0.19,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","1-1/4""",0.4,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","1-1/2""",0.58,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","2""",0.82,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","2-1/2""",3.97,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","3""",5.51,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","3-1/2""",8.33,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","4""",8.52,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT",,,,,,,,
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","1/2""",0.09,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","3/4""",0.14,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","1""",0.25,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","1-1/4""",0.53,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","1-1/2""",0.75,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","2""",1.07,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
