id,part,upc,cost,updated upc
2170,15A DUPLEX RECEPTACLE BROWN,3266419080,0,78500724269
2207,15A DUPLEX RECEPTACLE BROWN,3266448890,0,78500724269
2561,15A DUPLEX RECEPTACLE BROWN TAMPER RESISTANT,3266466650,0,78500724269
2166,15A DUPLEX RECEPTACLE GRAY,3266437450,0,78500711914
2097,15A DUPLEX RECEPTACLE GRAY COMMERCIAL GRADE TAMPER RESISTANT,3266448908,0,78500711914
2300,15A DUPLEX RECEPTACLE GRAY COMMERCIAL GRADE TAMPER RESISTANT,3266451507,0,78500711914
2584,15A DUPLEX RECEPTACLE GRAY COMMERCIAL GRADE TAMPER RESISTANT,3266466864,0,78500711914
2171,15A DUPLEX RECEPTACLE IVORY,3266475084,0,78500711914
497,15A DUPLEX RECEPTACLE IVORY COMMERCIAL GRADE,3266475069,0,78500711914
2371,15A DUPLEX RECEPTACLE IVORY COMMERCIAL GRADE TAMPER RESISTANT,3266466652,0,78500711914
1746,15A DUPLEX RECEPTACLE LIGHT ALMOND,3266475085,0,78500711914
2408,15A DUPLEX RECEPTACLE LIGHT ALMOND TAMPER RESISTANT,3266466651,0,78500711914
2563,15A DUPLEX RECEPTACLE LIGHT ALMOND TAMPER RESISTANT,3266458313,0,78500711914
1738,15A DUPLEX RECEPTACLE TAMPER RESISTANT LIGHT ALMOND,3266458315,0,78500711914
1468,15A DUPLEX RECEPTACLE WHITE,3266451248,0,78500711914
2135,15A DUPLEX RECEPTACLE WHITE,3266475083,0,78500711914
2370,15A DUPLEX RECEPTACLE WHITE COMMERCIAL GRADE TAMPER RESISTANT,3266466653,0,78500711914
2380,15A DUPLEX RECEPTACLE WHITE COMMERCIAL GRADE TAMPER RESISTANT,3266448903,0,78500711914
2538,15A DUPLEX RECEPTACLE WHITE TAMPER RESISTANT / WEATHER RESISTANT,3266466712,0,78500711914
3212,15A DUPLEX RECEPTACLE WHITE TAMPER RESISTANT / WEATHER RESISTANT,3266474520,0,78500711914
3247,15A GFCI / AFCI RECEPTACLE IVORY TAMPER RESISTANT,3266474759,0,78500705573
3248,15A GFCI / AFCI RECEPTACLE LIGHT ALMOND TAMPER RESISTANT,3266474758,0,78500705573
3198,15A GFCI / AFCI RECEPTACLE WHITE TAMPER RESISTANT,3266474760,0,78500705573
3263,15A GFCI RECEPTACLE / 1 SINGLE POLE SWITCH IVORY,3266475306,0,78500703575
3075,15A GFCI RECEPTACLE BLACK,3266474228,0,78500703575
3105,15A GFCI RECEPTACLE BLACK TAMPER RESISTANT,3266473986,0,78500703575
3074,15A GFCI RECEPTACLE BROWN,3266474227,0,78500703575
3072,15A GFCI RECEPTACLE BROWN,3266474266,0,78500703575
2562,15A GFCI RECEPTACLE BROWN TAMPER RESISTANT,3266466568,0,78500703575
3104,15A GFCI RECEPTACLE BROWN TAMPER RESISTANT,3266473985,0,78500703575
3097,15A GFCI RECEPTACLE BROWN TAMPER RESISTANT / WEATHER RESISTANT,3266474331,0,78500703646
3076,15A GFCI RECEPTACLE GRAY,3266474999,0,78500703575
3106,15A GFCI RECEPTACLE GRAY TAMPER RESISTANT,3266473987,0,78500703575
3098,15A GFCI RECEPTACLE GRAY TAMPER RESISTANT / WEATHER RESISTANT,3266474332,0,78500703646
3078,15A GFCI RECEPTACLE IVORY,3266474237,0,78500703575
3073,15A GFCI RECEPTACLE IVORY,3266474270,0,78500703575
3107,15A GFCI RECEPTACLE IVORY TAMPER RESISTANT,3266473989,0,78500703575
3096,15A GFCI RECEPTACLE IVORY TAMPER RESISTANT / WEATHER RESISTANT,3266474297,0,78500703646
3077,15A GFCI RECEPTACLE LIGHT ALMOND,3266474234,0,78500703575
3095,15A GFCI RECEPTACLE LIGHT ALMOND TAMPER RESISTANT / WEATHER RESISTANT,3266474296,0,78500703646
3071,15A GFCI RECEPTACLE TAMPER RESISTANT / WEATHER RESISTANT WHITE,3266474298,0,78500703575
3070,15A GFCI RECEPTACLE TAMPER RESISTANT LIGHT ALMOND,3266473988,0,78500703575
3079,15A GFCI RECEPTACLE WHITE,3266474242,0,78500703575
3093,15A GFCI RECEPTACLE WHITE TAMPER RESISTANT,3266474290,0,78500703646
3094,15A GFCI RECEPTACLE WHITE TAMPER RESISTANT / WEATHER RESISTANT,3266474307,0,78500703646
3207,15A GFCI RECEPTACLE WHITE w/ ALARM,3266474805,0,78500704784
445,15A IVORY DUPLEX RECEPTACLE 2 SLOT,3266475067,0,78500724018
2615,15A SINGLE RECEPTACLE IVORY TAMPER RESISTANT,3266466545,0,78500752515
2855,15A SINGLE RECEPTACLE LIGHT ALMOND,3266466544,0,78500752515
2095,15A SINGLE RECEPTACLE LIGHT ALMOND TAMPER RESISTANT,3266465104,0,78500752515
2536,15A SINGLE RECEPTACLE WHITE TAMPER RESISTANT,3266466546,0,78500752515
446,15A WHITE DUPLEX RECEPTACLE 2 SLOT,3266475066,0,78500752515
1230,15A WHITE DUPLEX RECEPTACLE COMMERCIAL GRADE,3266475068,0,78500703473
2083,16/2 FIRE ALARM SHIELDED NON-PLENUM RED JACKET,7940783539,0,3288688115
2578,16/2 FIRE ALARM SHIELDED PLENUM RED JACKET,7940783612,0,3288688142
758,16/2 STRANDED BLUE JACKET,2989243062,0,3288688142
1188,16/3 6ft SJEO APPLIANCE / POWER SUPPLY CORD,2989209855,0,2989209706
550,16/3 SEOOW OD 39,3288609863,0,3288603943
3134,16in TELESCOPING STUD MOUNT BOX BRACKET,79903863001,0,78285647616
371,18/1 STRANDED SHIELDED w/DRAIN,61282521513,0,3288688295
2580,18/2 FIRE ALARM NON-SHIELDED NON-PLENUM RED JACKET,7940783501,0,3288688102
